"Player","FG","TP","Points","TotalRebounds","Assists"
"Ben Simmons",NA,NA,NA,NA,NA
"Brandon Ingram",0.371,0.278,8,4.1,2
"Jaylen Brown",0.441,0.325,4.7,1.9,0.6
"Dragan Bender",0.388,0.317,3.1,2,0.4
"Kris Dunn",0.38,0.294,3.9,2.2,2.5
"Buddy Hield",0.396,0.382,9.2,2.8,1.4
"Jamal Murray",0.373,0.329,8,2.6,1.8
"Marquesse Chriss",0.426,0.313,7.2,3.4,0.6
"Jakob Poeltl",0.436,NA,2.3,3,0.2
"Thon Maker",0.6,0.556,2.3,1.2,0.1
"Domantas Sabonis",0.427,0.375,6.1,3.6,1.2
"Taurean Prince",0.386,0.321,3.5,2.1,0.7
"Georgios Papagiannis",1,NA,1,0.5,0
"Denzel Valentine",0.326,0.328,3.4,1.6,0.6
"Juan Hernangomez",0.448,0.407,3.3,2.4,0.4
"Guerschon Yabusele",NA,NA,NA,NA,NA
"Wade Baldwin",0.313,0.111,3.5,1.4,2.1
"Henry Ellenson",0.294,0.273,1.2,0.9,0.3
"Malik Beasley",0.333,0.308,2.8,0.5,0.3
"Caris LeVert",0.417,0.313,5.8,2.5,1.5
"DeAndre Bembry",0.484,0,2.4,1,0.3
"Malachi Richardson",0.385,0.333,3.4,0.8,0.4
"Ante Zizic",NA,NA,NA,NA,NA
"Timothe Luwawu",0.326,0.286,2.3,1,0.3
"Brice Johnson",NA,NA,NA,NA,NA
"Furkan Korkmaz",NA,NA,NA,NA,NA
"Pascal Siakam",0.503,0,4.8,3.6,0.4
"Skal Labissiere",0.625,NA,3,1.5,0
"Dejounte Murray",0.395,0.429,2.3,0.7,0.8
"Damian Jones",NA,NA,0,0,0
"Deyonta Davis",0.588,NA,2.2,2,0.1
"Ivica Zubac",0.294,NA,2.1,1.3,0.1
"Cheick Diallo",0.485,NA,5.6,3.7,0.3
"Tyler Ulis",0.405,0.375,3.2,0.7,1.4
"Rade Zagorac",NA,NA,NA,NA,NA
"Malcolm Brogdon",0.454,0.424,9.1,2.7,3.9
"Chinanu Onuaku",1,NA,6,3,1
"Patrick McCaw",0.382,0.372,2.7,1.1,0.9
"David Michineau",NA,NA,NA,NA,NA
"Diamond Stone",0.222,NA,1.5,0.8,0
"Stephen Zimmerman",0.455,NA,1.3,1.8,0.1
"Isaiah Whitehead",0.406,0.309,7,2.6,2.9
"Zhou Qi",NA,NA,NA,NA,NA
"Isaia Cordinier",NA,NA,NA,NA,NA
"Demetrius Jackson",0.75,1,2.5,1,0.8
"A.J. Hammons",0.409,0.667,1.4,1.2,0.1
"Jake Layman",0.333,0.265,2.5,0.6,0.3
"Paul Zipser",0.063,0,0.3,1.2,0.4
"Michael Gbinije",0.1,0,0.5,0.4,0.3
"Georges Niang",0.143,0.1,0.7,0.9,0.3
"Ben Bentil",NA,NA,NA,NA,NA
"Joel Bolomboy",0.6,0,0.9,1.1,0.1
"Petr Cornelie",NA,NA,NA,NA,NA
"Kay Felder",0.429,0.333,5.4,1.3,1.6
"Marcus Paige",NA,NA,NA,NA,NA
"Daniel Hamilton",NA,NA,NA,NA,NA
"Wang Zhelin",NA,NA,NA,NA,NA
"Abdel Nader",NA,NA,NA,NA,NA
"Isaiah Cousins",NA,NA,NA,NA,NA
"Tyrone Wallace",NA,NA,NA,NA,NA
"Karl-Anthony Towns",0.52,0.326,19.4,10.8,2.3
"D'Angelo Russell",0.408,0.352,13.8,3.5,3.7
"Jahlil Okafor",0.509,0.167,15.1,6.3,1.2
"Kristaps Porzingis",0.433,0.366,16.1,7.4,1.3
"Mario Hezonja",0.418,0.333,5.4,2,1.1
"Willie Cauley-Stein",0.561,0,6.2,4.3,0.5
"Emmanuel Mudiay",0.366,0.313,12.6,3.5,4.9
"Stanley Johnson",0.37,0.298,6.6,3.5,1.4
"Frank Kaminsky",0.402,0.315,8.4,4.3,1.5
"Justise Winslow",0.4,0.258,7.3,5.2,1.9
"Myles Turner",0.514,0.375,12.4,6.3,0.8
"Trey Lyles",0.425,0.365,7,3.8,0.9
"Devin Booker",0.417,0.34,15.6,2.6,2.8
"Cameron Payne",0.406,0.33,4.9,1.5,1.9
"Kelly Oubre",0.42,0.307,4.5,2.6,0.4
"Terry Rozier",0.34,0.289,3.5,2.3,1.3
"Rashad Vaughn",0.32,0.308,3.3,1.2,0.5
"Sam Dekker",0.482,0.33,6.1,3.8,1
"Jerian Grant",0.389,0.248,5.4,1.8,2.1
"Delon Wright",0.45,0.385,3.8,1.4,1.1
"Justin Anderson",0.399,0.287,5.1,2.8,0.6
"Bobby Portis",0.436,0.356,6.3,4.8,0.8
"Rondae Hollis-Jefferson",0.411,0.261,6.9,4.9,1.7
"Tyus Jones",0.385,0.346,3.9,1.3,2.6
"Jarell Martin",0.42,0.333,4.7,3.7,0.3
"Nikola Milutinov",NA,NA,NA,NA,NA
"Larry Nance Jr.",0.546,0.136,6,5.1,0.9
"R.J. Hunter",0.364,0.297,2.5,1,0.3
"Chris McCullough",0.415,0.359,4.1,2.5,0.3
"Kevon Looney",0.591,0.333,2.6,2.4,0.5
"Cedi Osman",NA,NA,NA,NA,NA
"Montrezl Harrell",0.658,0.333,6.3,2.6,0.7
"Jordan Mickey",0.429,NA,1.7,1.2,0.2
"Anthony Brown",0.317,0.277,3.9,2.5,0.7
"Willy Hernangomez",0.549,0.333,5.4,4.5,0.8
"Rakeem Christmas",0.5,NA,1.8,1,0.3
"Richaun Holmes",0.513,0.234,6,3.1,0.7
"Darrun Hilliard",0.382,0.35,3.8,1.1,0.8
"Juan Pablo Vaulet",NA,NA,NA,NA,NA
"Josh Richardson",0.421,0.378,8.2,2.5,1.9
"Pat Connaughton",0.355,0.292,1.2,0.9,0.3
"Olivier Hanlan",NA,NA,NA,NA,NA
"Joseph Young",0.362,0.203,3.4,1.1,1.3
"Andrew Harrison",0.305,0.24,7,2.4,3.6
"Marcus Thornton",NA,NA,NA,NA,NA
"Norman Powell",0.434,0.392,5.7,2,0.9
"Arturas Gudaitis",NA,NA,NA,NA,NA
"Dakari Johnson",NA,NA,NA,NA,NA
"Aaron White",NA,NA,NA,NA,NA
"Marcus Eriksson",NA,NA,NA,NA,NA
"Tyler Harvey",NA,NA,NA,NA,NA
"Satnam Singh",NA,NA,NA,NA,NA
"Sir'Dominic Pointer",NA,NA,NA,NA,NA
"Dani Diez",NA,NA,NA,NA,NA
"Cady Lalanne",NA,NA,NA,NA,NA
"Branden Dawson",0.4,NA,0.8,0.7,0
"Nikola Radicevic",NA,NA,NA,NA,NA
"J.P. Tokoto",NA,NA,NA,NA,NA
"Dimitrios Agravanis",NA,NA,NA,NA,NA
"Luka Mitrovic",NA,NA,NA,NA,NA
"Andrew Wiggins",0.447,0.316,19.4,4.1,2.1
"Jabari Parker",0.494,0.369,15.5,5.4,2
"Joel Embiid",0.466,0.368,19.4,7.3,2
"Aaron Gordon",0.455,0.3,8.5,5.2,1.4
"Dante Exum",0.365,0.31,5.2,1.7,2.2
"Marcus Smart",0.362,0.3,8.8,3.7,3.4
"Julius Randle",0.449,0.259,12,9.7,2.4
"Nik Stauskas",0.389,0.339,6.9,2,1.5
"Noah Vonleh",0.41,0.282,3.4,3.7,0.3
"Elfrid Payton",0.436,0.29,10.1,3.9,6.3
"Doug McDermott",0.445,0.397,7.9,2.2,0.7
"Dario Saric",0.385,0.341,9.6,5.9,1.6
"Zach LaVine",0.447,0.385,13.7,2.9,3.3
"T.J. Warren",0.49,0.338,10,3,0.8
"Adreian Payne",0.4,0.235,4.2,3.1,0.7
"Jusuf Nurkic",0.462,0,7.8,6.1,1.1
"James Young",0.349,0.253,2.1,1.1,0.4
"Tyler Ennis",0.408,0.313,3.7,1.2,1.9
"Gary Harris",0.438,0.323,9,2.3,1.5
"Bruno Caboclo",0.214,0.308,0.8,0.5,0.2
"Mitch McGary",0.527,0,4.4,3.5,0.3
"Jordan Adams",0.402,0.385,3.2,0.9,0.6
"Rodney Hood",0.416,0.355,12.6,3.1,2.2
"Shabazz Napier",0.368,0.347,4.3,1.4,1.9
"Clint Capela",0.598,0,7.7,6.4,0.6
"P.J. Hairston",0.343,0.295,6,2.4,0.5
"Bogdan Bogdanovic",NA,NA,NA,NA,NA
"C.J. Wilcox",0.388,0.333,2.1,0.5,0.5
"Josh Huestis",0.417,0.667,2.8,2,0
"Kyle Anderson",0.439,0.323,3.5,2.8,1.3
"Damien Inglis",0.351,0.231,1.8,1.6,0.5
"K.J. McDaniels",0.401,0.286,5.4,2.2,0.7
"Joe Harris",0.414,0.358,4.8,1.7,0.7
"Cleanthony Early",0.346,0.263,4.3,2.2,0.8
"Jarnell Stokes",0.581,NA,2.4,1.4,0.3
"Johnny O'Bryant III",0.395,1,3,2.4,0.5
"DeAndre Daniels",NA,NA,NA,NA,NA
"Spencer Dinwiddie",0.35,0.181,4.7,1.6,2.6
"Jerami Grant",0.406,0.292,7.8,3.6,1.3
"Glenn Robinson III",0.415,0.349,4,2.1,0.6
"Nikola Jokic",0.536,0.333,10.9,7.2,2.8
"Nick Johnson",0.347,0.238,2.6,1.4,0.4
"Walter Tavares",0.6,NA,2.3,1.8,0.3
"Markel Brown",0.382,0.297,5.3,2.1,1.2
"Dwight Powell",0.506,0.2,5.7,3.8,0.6
"Jordan Clarkson",0.44,0.34,13.9,3.5,2.7
"Russ Smith",0.319,0.188,2,0.6,0.7
"Lamar Patterson",0.35,0.245,2.4,1.4,1.1
"Cameron Bairstow",0.296,0.2,1.2,1,0.2
"Alec Brown",NA,NA,NA,NA,NA
"Thanasis Antetokounmpo",0.75,0,3,0.5,0
"Vasilije Micic",NA,NA,NA,NA,NA
"Alessandro Gentile",NA,NA,NA,NA,NA
"Nemanja Dangubic",NA,NA,NA,NA,NA
"Semaj Christon",0.345,0.179,3.2,1.4,2.5
"Roy Devyn Marble",0.304,0.222,2.2,1.6,0.7
"Louis Labeyrie",NA,NA,NA,NA,NA
"Jordan McRae",0.388,0.362,4.8,1.1,0.9
"Xavier Thames",NA,NA,NA,NA,NA
"Cory Jefferson",0.444,0.125,3.5,2.8,0.3
"Anthony Bennett",0.392,0.261,4.4,3.1,0.5
"Victor Oladipo",0.434,0.346,15.9,4.4,3.9
"Otto Porter",0.476,0.371,8.6,4.1,1.1
"Cody Zeller",0.493,0.167,7.8,5.5,1.2
"Alex Len",0.459,0.167,6.7,6.2,0.7
"Nerlens Noel",0.495,0.5,10.3,7.8,1.7
"Ben McLemore",0.413,0.343,9.2,2.5,1.2
"Kentavious Caldwell-Pope",0.411,0.34,11.5,3,1.5
"Trey Burke",0.388,0.335,11.1,2.2,3.8
"C.J. McCollum",0.454,0.41,14.7,2.5,2.7
"Michael Carter-Williams",0.41,0.251,14.1,5.5,5.9
"Steven Adams",0.575,0,7.1,6.3,0.8
"Kelly Olynyk",0.464,0.368,9.4,4.6,1.6
"Shabazz Muhammad",0.468,0.326,9.3,3,0.6
"Giannis Antetokounmpo",0.493,0.284,13.7,6.6,3.3
"Lucas Nogueira",0.621,0.25,3.3,3.1,0.5
"Dennis Schroder",0.431,0.335,10.3,2.2,4.1
"Shane Larkin",0.43,0.328,5.8,2,3.2
"Sergey Karasev",0.395,0.282,3,1.5,0.9
"Tony Snell",0.403,0.349,5.7,2.5,1
"Gorgui Dieng",0.517,0.318,8.8,7.1,1.6
"Mason Plumlee",0.568,0,8.9,6.4,1.9
"Solomon Hill",0.402,0.325,6,3.2,1.5
"Tim Hardaway",0.417,0.351,10,1.8,1.3
"Reggie Bullock",0.384,0.341,2.7,1.5,0.4
"Andre Roberson",0.468,0.277,4.2,3.6,0.8
"Rudy Gobert",0.594,0,8.1,9.2,1.1
"Livio Jean-Charles",NA,NA,NA,NA,NA
"Archie Goodwin",0.419,0.23,6.2,2,1.2
"Nemanja Nedovic",0.205,0.167,1.1,0.6,0.5
"Allen Crabbe",0.45,0.4,7.8,2.2,1
"Alex Abrines",0.378,0.354,5.7,1.3,0.5
"Carrick Felix",0.5,0.4,2.7,0.9,0.6
"Isaiah Canaan",0.369,0.353,8.8,1.9,1.6
"Glen Rice",0.269,0.25,2.7,1.5,0.6
"Ray McCallum",0.408,0.335,6,2,2.4
"Tony Mitchell",0.417,1,1,1.2,0.1
"Nate Wolters",0.426,0.261,5.8,2.3,2.6
"Jeff Withey",0.533,0,3.3,2.6,0.3
"Grant Jerrett",0.269,0.067,2,1.1,0.4
"Jamaal Franklin",0.415,0.462,1.8,1,0.4
"Pierre Jackson",0.214,0.333,3,0.5,1.8
"Ricky Ledo",0.336,0.371,3.9,1.4,0.8
"Mike Muscala",0.513,0.391,4.9,2.7,0.8
"Marko Todorovic",NA,NA,NA,NA,NA
"Erick Green",0.377,0.288,3.1,0.7,0.8
"Raul Neto",0.438,0.391,5.3,1.4,1.9
"Ryan Kelly",0.38,0.314,6.2,3.2,1.4
"Erik Murphy",0.231,0,0.3,0.3,0.1
"James Ennis",0.438,0.384,6.2,3,0.9
"Romero Osby",NA,NA,NA,NA,NA
"Lorenzo Brown",0.369,0.152,3.3,1.7,2.3
"Colton Iverson",NA,NA,NA,NA,NA
"Arsalan Kazemi",NA,NA,NA,NA,NA
"Joffrey Lauvergne",0.486,0.287,6.3,4.1,0.9
"Peyton Siva",0.316,0.28,2.3,0.6,1.4
"Alex Oriakhi",NA,NA,NA,NA,NA
"Deshaun Thomas",NA,NA,NA,NA,NA
"Bojan Dubljevic",NA,NA,NA,NA,NA
"Janis Timma",NA,NA,NA,NA,NA
"Anthony Davis",0.513,0.288,21.8,10,1.7
"Michael Kidd-Gilchrist",0.464,0.226,9.1,6.3,1.3
"Bradley Beal",0.43,0.396,16.7,3.6,3
"Dion Waiters",0.408,0.332,12.8,2.6,2.5
"Thomas Robinson",0.464,0,4.8,4.9,0.6
"Damian Lillard",0.429,0.368,21.9,3.9,6.3
"Harrison Barnes",0.452,0.374,11.2,4.7,1.4
"Terrence Ross",0.423,0.376,9.4,2.6,0.9
"Andre Drummond",0.551,0.286,13.4,12.7,0.7
"Austin Rivers",0.413,0.345,7.9,1.9,2
"Meyers Leonard",0.469,0.374,5.8,4,0.8
"Jeremy Lamb",0.433,0.325,7.7,2.9,1.1
"Kendall Marshall",0.399,0.37,5,1.6,4.9
"John Henson",0.533,0,7.8,5.2,1
"Maurice Harkless",0.467,0.313,7.3,3.7,0.8
"Royce White",0,NA,0,0,0
"Tyler Zeller",0.498,0,7.3,4.6,0.9
"Terrence Jones",0.503,0.294,10.4,5.7,1
"Andrew Nicholson",0.47,0.327,6.1,3.1,0.5
"Evan Fournier",0.448,0.385,11.7,2.5,2.1
"Jared Sullinger",0.439,0.276,11.1,7.7,1.8
"Fab Melo",0.5,NA,1.2,0.5,0
"John Jenkins",0.448,0.364,5.1,1.5,0.8
"Jared Cunningham",0.347,0.306,2.3,0.7,0.5
"Tony Wroten",0.413,0.231,11.1,2.5,3
"Miles Plumlee",0.531,NA,5.2,4.9,0.4
"Arnett Moultrie",0.547,NA,3.6,3.1,0.2
"Perry Jones",0.42,0.293,3.4,1.8,0.4
"Marquis Teague",0.349,0.22,2.3,1,1.4
"Festus Ezeli",0.513,NA,4.2,4.3,0.4
"Jeff Taylor",0.409,0.319,6.1,2,0.8
"Tomas Satoransky",0.397,0.105,3.1,1.5,2.2
"Bernard James",0.497,0,2.2,2.3,0.1
"Jae Crowder",0.431,0.337,8.2,3.5,1.3
"Draymond Green",0.441,0.34,8.9,6.7,3.8
"Orlando Johnson",0.358,0.311,3.2,1.7,0.7
"Quincy Acy",0.494,0.328,4.5,3.5,0.6
"Quincy Miller",0.35,0.292,4.3,2.4,0.5
"Khris Middleton",0.449,0.4,13.6,3.8,2.7
"Will Barton",0.424,0.316,8.5,3.5,1.6
"Tyshawn Taylor",0.354,0.36,2.9,0.5,0.9
"Doron Lamb",0.381,0.394,3.5,1,0.8
"Mike Scott",0.463,0.339,7.2,3,0.9
"Kim English",0.375,0.28,2.9,0.9,0.6
"Justin Hamilton",0.452,0.327,5.7,3.6,0.8
"Darius Miller",0.42,0.351,3.1,1.3,0.9
"Kevin Murphy",0.25,0.2,0.9,0.2,0.1
"Kostas Papanikolaou",0.354,0.297,3.6,2.3,1.5
"Kyle O'Quinn",0.502,0.227,5.3,4.4,1.1
"Izzet Turkyilmaz",NA,NA,NA,NA,NA
"Kris Joseph",0.143,0,0.9,0.7,0.1
"Ognjen Kuzmic",0.52,NA,0.9,1,0.2
"Furkan Aldemir",0.513,0,2.3,4.3,0.7
"Tornike Shengelia",0.451,0.125,1.3,0.9,0.4
"Darius Johnson-Odom",0,0,0,0.9,0.3
"Tomislav Zubcic",NA,NA,NA,NA,NA
"Ilkan Karaman",NA,NA,NA,NA,NA
"Robbie Hummel",0.418,0.343,3.9,2.7,0.5
"Marcus Denmon",NA,NA,NA,NA,NA
"Robert Sacre",0.436,0,4.2,3.1,0.7
"Kyrie Irving",0.454,0.382,21.1,3.4,5.5
"Derrick Williams",0.431,0.293,9.2,4.1,0.7
"Enes Kanter",0.53,0.326,11,6.7,0.6
"Tristan Thompson",0.507,0,9.4,8.7,0.8
"Jonas Valanciunas",0.553,0,11.4,8.4,0.6
"Jan Vesely",0.521,0,3.6,3.5,0.6
"Bismack Biyombo",0.507,0,4.8,6.6,0.4
"Brandon Knight",0.415,0.359,15.6,3.4,4.4
"Kemba Walker",0.41,0.345,17.9,3.9,5.4
"Jimmer Fredette",0.412,0.381,6,1,1.4
"Klay Thompson",0.452,0.416,18.7,3.3,2.3
"Alec Burks",0.432,0.364,10.5,2.9,1.9
"Markieff Morris",0.444,0.323,11.6,5.5,1.7
"Marcus Morris",0.428,0.359,10.4,4.1,1.5
"Kawhi Leonard",0.495,0.394,15.2,6.2,2.1
"Nikola Vucevic",0.505,0.288,14.4,9.8,2
"Iman Shumpert",0.395,0.338,7.3,3.5,2
"Chris Singleton",0.376,0.319,4.1,3.2,0.6
"Tobias Harris",0.467,0.329,13.6,5.7,1.6
"Donatas Motiejunas",0.476,0.312,7.8,4,1.1
"Nolan Smith",0.371,0.26,3.3,1,1.2
"Kenneth Faried",0.543,0.118,12,8.6,1.1
"Nikola Mirotic",0.403,0.346,10.6,5.2,1.2
"Reggie Jackson",0.433,0.319,12.1,3.1,4.3
"MarShon Brooks",0.442,0.326,7.7,2.2,1.4
"Jordan Hamilton",0.408,0.357,5.9,2.8,0.8
"JaJuan Johnson",0.446,NA,3.2,1.6,0.2
"Norris Cole",0.409,0.326,7.1,2,2.8
"Cory Joseph",0.456,0.317,6.4,2.1,2.3
"Jimmy Butler",0.446,0.33,14.8,4.7,2.8
"Bojan Bogdanovic",0.442,0.369,10.9,3,1.2
"Justin Harper",0.317,0.273,1.7,0.7,0.1
"Kyle Singler",0.419,0.366,6.8,3,0.8
"Shelvin Mack",0.425,0.324,6.3,1.9,3
"Tyler Honeycutt",0.314,0.2,1.2,1,0.4
"Jordan Williams",0.507,NA,4.6,3.6,0.3
"Trey Thompkins",0.393,0.308,2.4,1,0.1
"Chandler Parsons",0.471,0.377,14,4.9,3
"Jeremy Tyler",0.45,0,3.6,2.6,0.2
"Jon Leuer",0.485,0.357,6.3,3.9,0.8
"Darius Morris",0.384,0.322,3.3,1,1.4
"Davis Bertans",0.453,0.407,3.4,1.1,0.6
"Malcolm Lee",0.382,0.294,3.9,1.8,1.4
"Charles Jenkins",0.434,0.182,3.7,0.9,1.9
"Josh Harrellson",0.438,0.347,3.5,3,0.3
"Andrew Goudelock",0.393,0.345,4,0.7,0.5
"Travis Leslie",0.357,NA,1.4,0.9,0.5
"Keith Benson",0,NA,0,1,0
"Josh Selby",0.33,0.143,2.2,0.5,0.9
"Lavoy Allen",0.467,0.133,4.8,4.8,1
"Jon Diebler",NA,NA,NA,NA,NA
"Vernon Macklin",0.543,NA,2,1.5,0.2
"DeAndre Liggins",0.424,0.382,2.2,1.4,0.6
"Milan Macvan",NA,NA,NA,NA,NA
"E'Twaun Moore",0.43,0.369,6.2,1.7,1.7
"Chukwudiebere Maduabum",NA,NA,NA,NA,NA
"Targuy Ngombo",NA,NA,NA,NA,NA
"Ater Majok",NA,NA,NA,NA,NA
"Adam Hanga",NA,NA,NA,NA,NA
"Isaiah Thomas",0.439,0.364,18,2.6,5.1
"John Wall",0.433,0.319,18.4,4.5,9.1
"Evan Turner",0.432,0.304,10.6,5.1,3.7
"Derrick Favors",0.509,0.143,11.5,7.2,1.1
"Wesley Johnson",0.406,0.34,7.8,3.4,1.2
"DeMarcus Cousins",0.459,0.327,20.8,10.7,2.8
"Ekpe Udoh",0.429,0,4,3.2,0.7
"Greg Monroe",0.509,0,14.2,9,2.3
"Al-Farouq Aminu",0.427,0.318,7,5.5,1.2
"Gordon Hayward",0.44,0.363,15.1,4.1,3.4
"Paul George",0.427,0.366,17.4,6.2,3.1
"Cole Aldrich",0.531,NA,3.5,3.7,0.6
"Xavier Henry",0.406,0.325,5.7,1.9,0.6
"Ed Davis",0.561,0,6.8,6.4,0.8
"Patrick Patterson",0.46,0.367,7.9,4.8,1.2
"Larry Sanders",0.48,0,6.5,5.8,0.7
"Luke Babbitt",0.4,0.395,4.6,2.3,0.6
"Kevin Seraphin",0.485,0,6,3.5,0.6
"Eric Bledsoe",0.448,0.329,12.5,3.7,4.4
"Avery Bradley",0.443,0.368,12.1,3,1.7
"James Anderson",0.411,0.321,5.8,2.3,1.2
"Craig Brackins",0.265,0.214,1.8,1.1,0.5
"Elliot Williams",0.421,0.31,4.9,1.5,0.9
"Trevor Booker",0.516,0.318,6.7,5.5,1
"Damion James",0.415,0,3.8,3.4,0.7
"Dominique Jones",0.366,0.095,3.1,1.4,1.8
"Quincy Pondexter",0.424,0.365,5.3,2,0.8
"Jordan Crawford",0.405,0.306,12.2,2.6,3.2
"Greivis Vasquez",0.418,0.349,9,2.5,4.8
"Daniel Orton",0.485,0,2.8,2.5,0.5
"Lazar Hayward",0.347,0.269,2.9,1.3,0.5
"Tibor Pleiss",0.44,0,2,1.3,0.2
"Dexter Pittman",0.45,NA,2.3,1.8,0.2
"Hassan Whiteside",0.593,NA,12.9,10.8,0.3
"Armon Johnson",0.458,0.4,3.3,1,1.2
"Nemanja Bjelica",0.443,0.359,5.4,3.3,1.3
"Terrico White",NA,NA,NA,NA,NA
"Darington Hobson",0.154,0,0.8,0.6,1.2
"Andy Rautins",0.429,0.25,1.6,0.2,0.6
"Landry Fields",0.473,0.332,6.8,4.3,1.6
"Lance Stephenson",0.451,0.305,8.8,4.2,3
