"Player","FG","TP","Points","TotalRebounds","Assists"
"Jarvis Varnado",0.582,NA,2.9,1.9,0.4
"Da'Sean Butler",NA,NA,NA,NA,NA
"Devin Ebanks",0.385,0.222,3.6,1.9,0.4
"Jerome Jordan",0.528,NA,2.8,2,0.3
"Paulao Prestes",NA,NA,NA,NA,NA
"Gani Lawal",NA,NA,0,0,0
"Tiny Gallon",NA,NA,NA,NA,NA
"Latavious Williams",NA,NA,NA,NA,NA
"Ryan Richards",NA,NA,NA,NA,NA
"Solomon Alabi",0.314,NA,1.5,2.3,0.2
"Magnum Rolle",NA,NA,NA,NA,NA
"Luke Harangody",0.376,0.241,3.6,2.8,0.5
"Pape Sy",0.333,0,2.3,1,0.7
"Willie Warren",0.371,0.333,1.9,0.6,1.4
"Jeremy Evans",0.568,0.231,3.5,2.6,0.4
"Hamady N'Diaye",0.467,NA,0.6,0.8,0.1
"Ryan Reid",0.8,NA,1.6,0.4,0
"Derrick Caracter",0.485,NA,2,1,0.2
"Stanley Robinson",NA,NA,NA,NA,NA
"Dwayne Collins",NA,NA,NA,NA,NA
"Blake Griffin",0.519,0.266,21.4,9.5,4.1
"Hasheem Thabeet",0.567,NA,2.2,2.7,0.1
"James Harden",0.443,0.366,21.6,4.8,5.4
"Tyreke Evans",0.445,0.289,16.4,4.8,5.3
"Ricky Rubio",0.369,0.311,9.8,4.3,8.2
"Jonny Flynn",0.4,0.338,9.2,1.9,3.9
"Stephen Curry",0.476,0.44,22.6,4.3,6.8
"Jordan Hill",0.497,0.136,7.9,5.9,0.8
"DeMar DeRozan",0.445,0.28,18.8,4,2.7
"Brandon Jennings",0.39,0.348,15,3.1,5.8
"Terrence Williams",0.412,0.317,7.1,3.6,2.4
"Gerald Henderson",0.443,0.327,11.4,3.3,1.9
"Tyler Hansbrough",0.439,0.136,6.7,4.2,0.4
"Earl Clark",0.403,0.328,4.4,3,0.5
"Austin Daye",0.402,0.351,5.2,2.6,0.7
"James Johnson",0.478,0.295,6.9,3.3,1.6
"Jrue Holiday",0.438,0.367,14.1,3.5,6.1
"Ty Lawson",0.459,0.362,12.7,2.8,6
"Jeff Teague",0.447,0.352,12.4,2.3,5.3
"Eric Maynor",0.392,0.35,4.3,1.3,2.8
"Darren Collison",0.467,0.374,12.6,2.6,4.8
"Victor Claver",0.398,0.293,3.2,2.2,0.7
"Omri Casspi",0.442,0.368,8.4,4.2,1.2
"Byron Mullens",0.408,0.319,7.4,4.2,0.8
"Rodrigue Beaubois",0.439,0.325,7.1,1.9,2.1
"Taj Gibson",0.494,0.083,9.3,6.4,1
"DeMarre Carroll",0.451,0.372,8.1,3.8,1.1
"Wayne Ellington",0.411,0.371,7.3,2.1,1.1
"Toney Douglas",0.405,0.359,7.8,2.2,2.3
"Christian Eyenga",0.411,0.277,6.3,2.7,0.8
"Jeff Pendergraph",0.553,0.4,2.9,2.7,0.4
"Jermaine Taylor",0.441,0.284,5.4,1.7,0.7
"Dante Cunningham",0.466,0.305,6,3.8,0.7
"Sergio Llull",NA,NA,NA,NA,NA
"DaJuan Summers",0.384,0.367,3.3,1,0.3
"Sam Young",0.442,0.28,5.8,2.3,0.7
"DeJuan Blair",0.524,0,6.8,5.1,0.8
"Jon Brockman",0.488,0,2.1,3.1,0.3
"Jonas Jerebko",0.459,0.356,6.5,4.1,0.8
"Derrick Brown",0.515,0.317,5.2,2.4,0.7
"Jodie Meeks",0.421,0.374,9.8,2.2,1.1
"Patrick Beverley",0.415,0.376,9.2,3.8,3.3
"Marcus Thornton",0.425,0.358,11.9,2.8,1.4
"Chase Budinger",0.43,0.352,7.9,3,1.2
"Nick Calathes",0.441,0.288,4.6,1.9,2.7
"Danny Green",0.429,0.407,9,3.4,1.6
"Henk Norel",NA,NA,NA,NA,NA
"Taylor Griffin",0.4,0,1.3,0.3,0.1
"Sergiy Gladyr",NA,NA,NA,NA,NA
"Goran Suton",NA,NA,NA,NA,NA
"Jack McClinton",NA,NA,NA,NA,NA
"A.J. Price",0.38,0.316,5.8,1.4,2.2
"Nando De Colo",0.429,0.363,3.8,1.8,1.7
"Robert Vaden",NA,NA,NA,NA,NA
"Patrick Mills",0.439,0.393,7.7,1.5,2
"Ahmad Nivins",NA,NA,NA,NA,NA
"Emir Preldzic",NA,NA,NA,NA,NA
"Lester Hudson",0.375,0.277,4.7,1.4,1.2
"Chinemelu Elonu",NA,NA,NA,NA,NA
"Robert Dozier",NA,NA,NA,NA,NA
"Derrick Rose",0.448,0.3,19.5,3.7,6.1
"Michael Beasley",0.455,0.346,12.7,4.7,1.3
"O.J. Mayo",0.429,0.373,13.8,3.1,2.9
"Russell Westbrook",0.434,0.307,22.1,5.9,7.8
"Kevin Love",0.444,0.366,18.5,11.5,2.4
"Danilo Gallinari",0.416,0.367,15.1,4.6,1.9
"Eric Gordon",0.435,0.387,16.7,2.5,3.3
"Joe Alexander",0.41,0.34,4.2,1.8,0.7
"D.J. Augustin",0.404,0.375,9.7,1.8,3.9
"Brook Lopez",0.508,0.324,18.4,7.2,1.5
"Jerryd Bayless",0.414,0.366,8.6,2.1,2.9
"Jason Thompson",0.496,0.143,8.9,6.6,1.1
"Brandon Rush",0.429,0.403,6.9,3,1
"Anthony Randolph",0.453,0.241,7.1,4.3,0.7
"Robin Lopez",0.528,0,8.5,5.5,0.6
"Marreese Speights",0.465,0.342,8,4.2,0.6
"Roy Hibbert",0.464,0.25,10.1,6.4,1.4
"JaVale McGee",0.547,0.125,7.9,5.1,0.3
"J.J. Hickson",0.505,0,9.5,6.8,0.8
"Alexis Ajinca",0.5,0.293,5.2,3.9,0.5
"Ryan Anderson",0.424,0.38,13.2,5.5,0.9
"Courtney Lee",0.45,0.389,9.6,2.6,1.6
"Kosta Koufos",0.533,0,5.6,4.9,0.4
"Serge Ibaka",0.52,0.36,11.8,7.4,0.6
"Nicolas Batum",0.439,0.358,11.9,5.3,3.5
"George Hill",0.453,0.381,11.5,3.2,3.3
"Darrell Arthur",0.445,0.337,6.7,3.6,0.8
"Donte Greene",0.406,0.304,6.1,2.4,0.7
"D.J. White",0.507,0.333,5.9,3.2,0.6
"J.R. Giddens",0.476,0,1.9,1.4,0.3
"Nikola Pekovic",0.518,NA,12.6,6.7,0.7
"Walter Sharpe",0.364,0,1,0.4,0
"Joey Dorsey",0.534,0,2.6,3.9,0.4
"Mario Chalmers",0.421,0.358,9,2.5,3.8
"DeAndre Jordan",0.67,0.1,8.9,9.9,0.6
"Omer Asik",0.529,0,5.5,7.4,0.6
"Luc Mbah a Moute",0.447,0.318,6.3,4.4,0.9
"Kyle Weaver",0.441,0.353,5,2.2,1.6
"Sonny Weems",0.465,0.283,6.5,2.2,1.4
"Chris Douglas-Roberts",0.439,0.329,7.1,2.1,1.1
"Nathan Jawai",0.435,0,2.8,2.4,0.5
"Sean Singletary",0.365,0.4,2.4,0.9,0.8
"Patrick Ewing",0,0,0.4,0.3,0.3
"Ante Tomic",NA,NA,NA,NA,NA
"Goran Dragic",0.469,0.359,12.8,2.9,4.8
"Trent Plaisted",NA,NA,NA,NA,NA
"Bill Walker",0.446,0.369,6,2.2,0.8
"Malik Hairston",0.512,0.167,2.4,1.2,0.5
"Richard Hendrix",NA,NA,NA,NA,NA
"DeVon Hardin",NA,NA,NA,NA,NA
"Shan Foster",NA,NA,NA,NA,NA
"Darnell Jackson",0.449,0.235,2.2,1.5,0.2
"Tadija Dragicevic",NA,NA,NA,NA,NA
"Maarty Leunen",NA,NA,NA,NA,NA
"Mike Taylor",0.412,0.325,5.7,1.7,2.1
"Sasha Kaun",0.529,NA,0.9,1,0.1
"James Gist",NA,NA,NA,NA,NA
"Joe Crawford",0.3,0.25,4.5,2,0.5
"Deron Washington",NA,NA,NA,NA,NA
"Semih Erden",0.546,NA,3.8,2.8,0.4
"Greg Oden",0.574,NA,8,6.2,0.5
"Kevin Durant",0.486,0.38,27.3,7.1,3.7
"Al Horford",0.53,0.339,14.4,8.8,2.8
"Mike Conley",0.44,0.376,13.8,2.9,5.6
"Jeff Green",0.437,0.337,13.7,4.8,1.6
"Yi Jianlian",0.404,0.333,7.9,4.9,0.7
"Corey Brewer",0.424,0.285,9.5,2.9,1.6
"Brandan Wright",0.608,0,7.1,3.7,0.5
"Joakim Noah",0.491,0,9.1,9.4,2.9
"Spencer Hawes",0.457,0.352,8.8,5.8,1.9
"Acie Law",0.413,0.235,3.9,1,1.6
"Thaddeus Young",0.499,0.331,13.8,5.9,1.5
"Julian Wright",0.499,0.262,3.9,2.3,0.8
"Al Thornton",0.452,0.293,11.9,4.2,1.2
"Rodney Stuckey",0.425,0.299,12.8,3,3.6
"Nick Young",0.42,0.376,11.9,2,1
"Sean Williams",0.511,0,4.2,3.4,0.3
"Marco Belinelli",0.425,0.383,9.6,2,1.6
"Javaris Crittenton",0.442,0.231,5.3,2.4,1.8
"Jason Smith",0.468,0.306,6.3,3.4,0.8
"Daequan Cook",0.369,0.359,6.4,2.1,0.7
"Jared Dudley",0.47,0.401,8.4,3.4,1.6
"Wilson Chandler",0.443,0.34,13.9,5.4,1.8
"Rudy Fernandez",0.399,0.36,9.1,2.4,2.2
"Morris Almond",0.381,0.292,3.1,1.2,0.3
"Aaron Brooks",0.414,0.369,10.4,1.8,3.2
"Arron Afflalo",0.451,0.384,11.4,3,1.9
"Tiago Splitter",0.557,0,8,5.1,1.2
"Alando Tucker",0.423,0.294,4.1,1,0.3
"Petteri Koponen",NA,NA,NA,NA,NA
"Carl Landry",0.535,0.3,10.8,4.9,0.7
"Gabe Pruitt",0.321,0.283,2,0.8,0.8
"Marcus Williams",0.318,NA,1.1,0.9,0.2
"Nick Fazekas",0.561,0,4.1,3.4,0.4
"Glen Davis",0.447,0.182,8,4.4,0.9
"Jermareo Davidson",0.425,NA,3.1,1.8,0.3
"Josh McRoberts",0.464,0.341,5.4,3.9,2.1
"Kyrylo Fesenko",0.496,0,2.3,2,0.3
"Stanko Barac",NA,NA,NA,NA,NA
"Sun Yue",0.273,0,0.6,0,0.2
"Chris Richard",0.483,NA,1.9,2.8,0.4
"Derrick Byars",0.273,0,5,5.5,0.5
"Adam Haluska",NA,NA,NA,NA,NA
"Reyshawn Terry",NA,NA,NA,NA,NA
"Jared Jordan",NA,NA,NA,NA,NA
"Stephane Lasme",0.451,NA,5.2,3.3,0.2
"Dominic McGuire",0.419,0.188,2.7,3.4,1.2
"Marc Gasol",0.499,0.323,14.7,7.7,3.1
"Aaron Gray",0.509,0,3.4,3.7,0.7
"Renaldas Seibutis",NA,NA,NA,NA,NA
"JamesOn Curry",NA,NA,0,0,0
"Taurean Green",0.28,0.182,1.6,0.6,0.6
"Demetris Nichols",0.281,0.2,1.2,0.4,0.1
"Brad Newley",NA,NA,NA,NA,NA
"Herbert Hill",NA,NA,NA,NA,NA
"Ramon Sessions",0.437,0.313,10.6,2.7,4.2
"Sammy Mejia",NA,NA,NA,NA,NA
"Giorgos Printezis",NA,NA,NA,NA,NA
"D.J. Strawberry",0.315,0.24,2.2,0.8,0.9
"Milovan Rakovic",NA,NA,NA,NA,NA
"Andrea Bargnani",0.439,0.354,14.3,4.6,1.2
"LaMarcus Aldridge",0.488,0.28,19.2,8.4,1.9
"Adam Morrison",0.373,0.331,7.5,2.1,1.4
"Tyrus Thomas",0.438,0.235,7.7,4.8,0.9
"Shelden Williams",0.462,0.222,4.5,4.3,0.5
"Brandon Roy",0.459,0.348,18.8,4.3,4.7
"Randy Foye",0.402,0.367,10.6,2.2,2.9
"Rudy Gay",0.452,0.343,18.4,5.9,2.3
"Patrick O'Bryant",0.494,0,2.1,1.4,0.3
"Mouhamed Sene",0.427,NA,2.2,1.6,0
"J.J. Redick",0.449,0.414,11.7,1.9,1.9
"Hilton Armstrong",0.501,0.286,3,2.6,0.3
"Thabo Sefolosha",0.448,0.343,5.9,3.9,1.5
"Ronnie Brewer",0.49,0.254,7.8,2.8,1.6
"Cedric Simmons",0.409,NA,2.2,1.9,0.2
"Rodney Carney",0.422,0.338,5.9,2,0.4
"Shawne Williams",0.403,0.339,5.6,3,0.7
"Oleksiy Pecherov",0.386,0.29,3.9,2.4,0.2
"Quincy Douby",0.389,0.312,4.1,1.1,0.7
"Renaldo Balkman",0.51,0.172,4,3.5,0.6
"Rajon Rondo",0.464,0.291,10.8,4.9,8.6
"Marcus Williams",0.386,0.321,5.6,1.8,2.8
"Josh Boone",0.544,NA,5.2,4.9,0.5
"Kyle Lowry",0.423,0.364,14,4.1,5.8
"Shannon Brown",0.42,0.332,7.6,1.9,1.1
"Jordan Farmar",0.423,0.374,7.7,1.9,2.9
"Sergio Rodriguez",0.414,0.332,4.8,1.4,3.3
"Maurice Ager",0.339,0.25,2.1,0.6,0.2
"Mardy Collins",0.38,0.299,3.9,1.8,1.7
"Joel Freeland",0.459,0,3.2,3.4,0.4
"James White",0.438,0.34,2.7,1,0.5
"Steve Novak",0.437,0.43,4.7,1.3,0.3
"Solomon Jones",0.467,0.111,3,2.3,0.4
"Paul Davis",0.402,0,2.6,1.9,0.4
"P.J. Tucker",0.434,0.346,7.7,5.7,1.6
"Craig Smith",0.553,0.037,7.6,3.9,0.8
"Bobby Jones",0.442,0.306,3.2,1.6,0.5
"Kosta Perovic",0.3,NA,1.4,1.9,0.1
"David Noel",0.367,0.321,2.7,1.8,1
"Denham Brown",NA,NA,NA,NA,NA
"James Augustine",0.514,NA,1.6,1.2,0.1
"Daniel Gibson",0.402,0.407,7.8,2,2
"Marcus Vinicius",0.457,0.421,1.9,0.7,0.3
"Lior Eliyahu",NA,NA,NA,NA,NA
"Alexander Johnson",0.517,NA,4.3,2.7,0.3
"Dee Brown",0.34,0.25,2.1,1,1.8
"Paul Millsap",0.495,0.331,14,7.5,2.2
"Vladimir Veremeenko",NA,NA,NA,NA,NA
"Leon Powe",0.515,0,6.2,3.8,0.3
"Ryan Hollins",0.584,0,3.7,2.2,0.3
"Cheikh Samb",0.25,0,1,1.4,0
"Guillermo Diaz",0.25,0,0.8,0.3,0.2
"Yotam Halperin",NA,NA,NA,NA,NA
"Hassan Adams",0.534,0,2.5,1.2,0.2
"Ejike Ugboaja",NA,NA,NA,NA,NA
"Edin Bavcic",NA,NA,NA,NA,NA
"Loukas Mavrokefalidis",NA,NA,NA,NA,NA
"J.R. Pinnock",NA,NA,NA,NA,NA
"Damir Markota",0.365,0.375,1.7,1,0.2
"Will Blalock",0.3,0.2,1.8,1.1,1.2
"Andrew Bogut",0.534,0.12,10.1,9,2.3
"Marvin Williams",0.443,0.354,10.5,5.2,1.3
"Deron Williams",0.444,0.356,16.7,3.1,8.2
"Chris Paul",0.473,0.367,18.7,4.4,9.9
"Raymond Felton",0.412,0.328,12.1,3.1,5.8
"Martell Webster",0.418,0.382,8.7,3.1,1
"Charlie Villanueva",0.435,0.341,10.4,4.6,0.8
"Channing Frye",0.439,0.39,9.3,4.8,1
"Ike Diogu",0.509,0.5,6,3.1,0.3
"Andrew Bynum",0.556,0.111,11.5,7.7,1.2
"Fran Vazquez",NA,NA,NA,NA,NA
"Yaroslav Korolev",0.283,0.25,1.1,0.5,0.4
"Sean May",0.458,0.231,6.9,4,1
"Rashad McCants",0.431,0.368,10,2,1.3
"Antoine Wright",0.412,0.304,5.4,2.3,1
"Joey Graham",0.483,0.3,5.9,2.8,0.5
"Danny Granger",0.434,0.38,16.8,4.9,1.9
"Gerald Green",0.42,0.362,9.9,2.5,1
"Hakim Warrick",0.49,0.191,9.4,4,0.8
"Julius Hodge",0.44,NA,1.2,0.7,0.8
"Nate Robinson",0.423,0.36,11,2.3,3
"Jarrett Jack",0.44,0.346,11.1,2.9,4.5
"Francisco Garcia",0.427,0.357,7.9,2.6,1.4
"Luther Head",0.423,0.388,8.2,2.4,2.1
"Johan Petro",0.462,0.154,4.7,3.9,0.5
"Jason Maxiell",0.495,0,5.6,4.2,0.4
"Linas Kleiza",0.435,0.335,8.7,3.6,0.8
"Ian Mahinmi",0.535,0,5.1,4.3,0.5
"Wayne Simien",0.469,NA,3.3,1.9,0.2
"David Lee",0.534,0.034,13.9,9,2.2
"Salim Stoudamire",0.407,0.366,8,1.4,1
"Daniel Ewing",0.389,0.295,3.4,1.2,1.4
"Brandon Bass",0.498,0.211,8.8,4.6,0.8
"C.J. Miles",0.417,0.355,9.7,2.4,1.2
"Ricky Sanchez",NA,NA,NA,NA,NA
"Ersan Ilyasova",0.445,0.37,10.9,6,1.1
"Ronny Turiaf",0.533,0,4.7,3.7,1.3
"Travis Diener",0.388,0.353,4.8,1.4,2.4
"Von Wafer",0.42,0.325,5.3,1.2,0.7
"Monta Ellis",0.451,0.313,18.4,3.5,4.7
"Roko Ukic",0.387,0.189,4,0.9,1.9
"Chris Taft",0.605,NA,2.8,2.1,0.1
"Mile Ilic",0,NA,0,0.2,0
"Martynas Andriuskevicius",0,NA,0,0.7,0
"Louis Williams",0.417,0.344,12.6,2.1,2.9
"Erazem Lorbek",NA,NA,NA,NA,NA
"Bracey Wright",0.405,0.324,5,1.5,0.8
"Mickael Gelabale",0.47,0.316,4.6,2.3,0.8
"Andray Blatche",0.467,0.237,10.1,5.4,1.4
"Ryan Gomes",0.445,0.349,10.1,4.6,1.5
"Robert Whaley",0.404,NA,2.1,1.9,0.7
"Axel Hervelle",NA,NA,NA,NA,NA
"Orien Greene",0.387,0.212,2.5,1.5,1.2
"Dijon Thompson",0.425,0.308,2.8,1.2,0.2
"Lawrence Roberts",0.452,0,3.8,3.6,0.4
"Amir Johnson",0.572,0.326,7.5,5.7,1.2
"Marcin Gortat",0.554,0.158,10.4,8.1,1
"Uros Slokar",0.538,0.5,1.9,0.7,0.1
"Cenk Akyol",NA,NA,NA,NA,NA
"Alex Acker",0.37,0.32,2.7,1,0.5
"Dwight Howard",0.583,0.093,17.6,12.7,1.5
"Emeka Okafor",0.512,0,12.3,9.9,0.9
"Ben Gordon",0.432,0.401,14.9,2.5,2.5
"Shaun Livingston",0.481,0.188,6.6,2.5,3.3
"Devin Harris",0.437,0.324,11.5,2.3,4.3
"Josh Childress",0.522,0.329,9.1,4.7,1.6
"Luol Deng",0.456,0.335,15.2,6.2,2.3
"Rafael Araujo",0.405,0.25,2.8,2.8,0.3
"Andre Iguodala",0.462,0.333,13.1,5.3,4.5
"Luke Jackson",0.357,0.36,3.5,1.2,0.8
"Andris Biedrins",0.594,0,6.3,7,0.9
"Robert Swift",0.506,NA,4.3,3.9,0.2
"Sebastian Telfair",0.39,0.319,7.4,1.6,3.5
"Kris Humphries",0.464,0.27,6.8,5.4,0.7
"Al Jefferson",0.498,0.127,16.3,8.7,1.5
"Kirk Snyder",0.438,0.327,6.3,2.3,1.1
"Josh Smith",0.453,0.285,14.6,7.5,3.1
"J.R. Smith",0.421,0.375,13.1,3.2,2.2
"Dorell Wright",0.424,0.365,8.4,3.8,1.5
"Jameer Nelson",0.437,0.368,11.8,3,5.2
"Pavel Podkolzin",0,NA,0.7,1.5,0
"Viktor Khryapa",0.443,0.292,4.5,3.4,1
"Sergei Monia",0.333,0.265,3,2,0.7
"Delonte West",0.448,0.372,9.7,2.9,3.6
"Tony Allen",0.477,0.281,8.2,3.5,1.3
"Kevin Martin",0.437,0.384,17.4,3.2,1.9
"Sasha Vujacic",0.393,0.368,5.4,1.9,1.3
"Beno Udrih",0.463,0.349,8.4,2.1,3.4
"David Harrison",0.53,NA,5,2.9,0.2
"Anderson Varejao",0.51,0.024,7.3,7.2,1.2
"Jackson Vroman",0.408,0,3.3,3,0.6
"Peter John Ramos",0.5,NA,1.8,0.7,0
"Lionel Chalmers",0.336,0.245,3.1,0.9,1.4
"Donta Smith",0.421,0.308,2.7,1.1,0.8
"Andre Emmett",0.462,0,1.4,0.6,0.1
"Antonio Burks",0.387,0.235,2.3,0.6,1.3
"Royal Ivey",0.406,0.361,3.3,1.1,1
"Chris Duhon",0.393,0.363,6.5,2.3,4.4
"Albert Miralles",NA,NA,NA,NA,NA
"Justin Reed",0.404,0,3.5,1.4,0.5
"David Young",NA,NA,NA,NA,NA
"Viktor Sanikidze",NA,NA,NA,NA,NA
"Trevor Ariza",0.428,0.355,10.4,4.8,2.1
"Tim Pickett",NA,NA,NA,NA,NA
"Bernard Robinson",0.417,0.161,4.5,2.5,1
"Ha Seung-Jin",0.519,NA,1.5,1.5,0.1
"Pape Sow",0.416,NA,2.9,2.8,0.2
"Ricky Minard",NA,NA,NA,NA,NA
"Sergei Lishouk",NA,NA,NA,NA,NA
"Vassilis Spanoulis",0.319,0.172,2.7,0.7,0.9
"Christian Drejer",NA,NA,NA,NA,NA
"Romain Sato",NA,NA,NA,NA,NA
"Matt Freije",0.293,0.224,3.2,2,0.6
"Rickey Paulding",NA,NA,NA,NA,NA
"Luis Flores",0.483,0.5,2.2,0.2,0.7
"Marcus Douthit",NA,NA,NA,NA,NA
"Sergei Karaulov",NA,NA,NA,NA,NA
"Blake Stepp",NA,NA,NA,NA,NA
"Rashad Wright",NA,NA,NA,NA,NA
"LeBron James",0.498,0.341,27.1,7.2,6.9
"Darko Milicic",0.46,0,6,4.2,0.9
"Carmelo Anthony",0.452,0.345,24.8,6.6,3.2
"Chris Bosh",0.494,0.335,19.2,8.5,2
"Dwyane Wade",0.486,0.288,23.5,4.8,5.7
"Chris Kaman",0.489,0.042,11.2,7.6,1.3
"Kirk Hinrich",0.411,0.375,10.9,2.9,4.8
"T.J. Ford",0.433,0.289,11.2,3.1,5.8
"Mike Sweetney",0.485,0,6.5,4.5,0.6
"Jarvis Hayes",0.415,0.356,8.3,3.1,1.1
"Mickael Pietrus",0.425,0.355,8.3,3.1,0.8
"Nick Collison",0.533,0.21,6,5.3,1
"Marcus Banks",0.432,0.327,5.9,1.5,2.1
"Luke Ridnour",0.431,0.349,9.3,2.3,4.5
"Reece Gaines",0.324,0.269,1.7,0.7,0.7
"Troy Bell",0.222,0,1.8,0.7,0.7
"Zarko Cabarkapa",0.427,0.273,4.3,2.1,0.6
"David West",0.492,0.262,14.4,6.7,2.2
"Sasha Pavlovic",0.404,0.346,4.9,1.8,0.9
"Dahntay Jones",0.439,0.331,5.4,1.7,0.8
"Boris Diaw",0.495,0.342,8.8,4.4,3.5
"Zoran Planinic",0.405,0.289,3.8,1.3,1.1
"Travis Outlaw",0.423,0.337,8.5,3.2,0.8
"Brian Cook",0.439,0.382,5.5,2.6,0.6
"Carlos Delfino",0.401,0.365,8.1,3.6,1.7
"Ndudi Ebi",0.486,0,2.1,1,0.2
"Kendrick Perkins",0.53,0,5.4,5.8,1
"Leandro Barbosa",0.461,0.389,10.8,2,2.1
